Provincia,Canton,Asaltos,Homicidios,Hurtos,Robos,Robo de Vehiculos,Tacha de Vehiculos,Total
ALAJUELA,ALAJUELA,1504,87,1766,1249,1269,565,6440
ALAJUELA,ATENAS,32,7,83,128,104,26,380
ALAJUELA,GRECIA,87,8,207,239,169,20,730
ALAJUELA,GUATUSO,19,1,121,100,23,7,271
ALAJUELA,LOS CHILES,91,16,219,223,52,11,612
ALAJUELA,NARANJO,45,2,70,103,67,16,303
ALAJUELA,OROTINA,145,8,216,206,107,67,749
ALAJUELA,PALMARES,53,3,82,61,37,15,251
ALAJUELA,POAS,43,4,50,99,70,7,273
ALAJUELA,RIO CUARTO,19,2,30,38,26,4,119
ALAJUELA,SAN CARLOS,346,36,984,907,291,267,2831
ALAJUELA,SAN MATEO,9,2,24,60,17,4,116
ALAJUELA,SAN RAMON,214,33,363,324,121,75,1130
ALAJUELA,SARCH&#205;,15,5,47,41,41,0,149
ALAJUELA,UPALA,114,8,329,243,104,11,809
ALAJUELA,ZARCERO,4,0,24,27,14,9,78
CARTAGO,ALVARADO,27,2,24,57,11,10,131
CARTAGO,CARTAGO,1011,40,956,606,316,287,3216
CARTAGO,EL GUARCO,116,6,106,148,49,42,467
CARTAGO,JIMENEZ,20,2,61,90,9,12,194
CARTAGO,LA UNION,401,33,328,236,186,95,1279
CARTAGO,OREAMUNO,141,8,100,182,57,65,553
CARTAGO,PARAISO,144,29,142,141,62,41,559
CARTAGO,TURRIALBA,110,30,368,402,46,65,1021
GUANACASTE,ABANGARES,34,9,70,109,33,5,260
GUANACASTE,BAGACES,48,7,87,142,35,2,321
GUANACASTE,CANAS,160,10,258,153,38,24,643
GUANACASTE,CARRILLO,120,16,259,266,74,41,776
GUANACASTE,HOJANCHA,2,1,46,31,7,4,91
GUANACASTE,LA CRUZ,52,11,113,81,13,8,278
GUANACASTE,LIBERIA,576,33,940,631,124,184,2488
GUANACASTE,NANDAYURE,4,1,23,36,8,2,74
GUANACASTE,NICOYA,118,48,468,360,145,70,1209
GUANACASTE,SANTA CRUZ,323,36,864,608,169,163,2163
GUANACASTE,TILARAN,12,4,65,75,22,11,189
HEREDIA,BARVA,158,1,195,142,136,24,656
HEREDIA,BELEN,137,2,327,78,61,50,655
HEREDIA,FLORES,72,1,81,63,77,25,319
HEREDIA,HEREDIA,990,32,1403,402,388,242,3457
HEREDIA,SAN ISIDRO,53,0,48,59,31,27,218
HEREDIA,SAN PABLO,66,2,92,97,55,33,345
HEREDIA,SAN RAFAEL,173,8,182,129,92,17,601
HEREDIA,SANTA BARBARA,131,3,92,151,149,13,539
HEREDIA,SANTO DOMINGO,155,7,156,147,87,60,612
HEREDIA,SARAPIQUI,148,29,215,248,120,36,796
LIMON,GUACIMO,165,24,127,105,70,3,494
LIMON,LIMON,602,181,563,580,247,103,2276
LIMON,MATINA,402,84,182,232,151,13,1064
LIMON,POCOCI,599,52,614,638,251,66,2220
LIMON,SIQUIRRES,439,36,329,295,104,31,1234
LIMON,TALAMANCA,225,12,542,337,58,175,1349
PUNTARENAS,BUENOS AIRES,77,5,190,340,49,9,670
PUNTARENAS,CORREDORES,105,26,402,223,71,40,867
PUNTARENAS,COTO BRUS,30,4,210,210,62,8,524
PUNTARENAS,ESPARZA,148,16,115,159,145,28,611
PUNTARENAS,GARABITO,197,25,610,246,139,600,1817
PUNTARENAS,GOLFITO,88,6,271,244,46,13,668
PUNTARENAS,MONTES DE ORO,32,3,51,30,19,10,145
PUNTARENAS,MONTEVERDE,9,0,72,54,10,30,175
PUNTARENAS,OSA,163,11,609,445,53,107,1388
PUNTARENAS,PARRITA,118,39,92,167,72,83,571
PUNTARENAS,PUERTO JIM&#201;NEZ,31,2,177,134,18,19,381
PUNTARENAS,PUNTARENAS,629,137,983,692,420,268,3129
PUNTARENAS,QUEPOS,253,35,391,283,84,261,1307
SAN JOSE,ACOSTA,19,0,33,61,16,5,134
SAN JOSE,ALAJUELITA,372,73,254,135,160,70,1064
SAN JOSE,ASERRI,156,10,129,143,105,37,580
SAN JOSE,CURRIDABAT,369,9,274,185,140,225,1202
SAN JOSE,DESAMPARADOS,815,57,656,328,370,219,2445
SAN JOSE,DOTA,7,0,34,42,5,5,93
SAN JOSE,ESCAZU,126,13,370,111,72,96,788
SAN JOSE,GOICOECHEA,555,51,443,226,230,197,1702
SAN JOSE,LEON CORTES,3,3,27,35,3,3,74
SAN JOSE,MONTES DE OCA,611,8,551,276,197,282,1925
SAN JOSE,MORA,33,2,101,136,34,7,313
SAN JOSE,MORAVIA,198,8,196,129,110,112,753
SAN JOSE,PEREZ ZELEDON,409,23,869,822,158,106,2387
SAN JOSE,PURISCAL,56,3,183,153,41,29,465
SAN JOSE,SAN JOSE,7763,195,7917,1448,1092,1461,19876
SAN JOSE,SANTA ANA,137,8,346,123,113,106,833
SAN JOSE,TARRAZU,16,1,64,69,4,5,159
SAN JOSE,TIBAS,315,14,353,146,214,142,1184
SAN JOSE,TURRUBARES,4,1,10,45,4,8,72
SAN JOSE,VASQUEZ DE CORONADO,111,11,153,114,105,80,574
