,Provincia,Canton,Madrugada,Mañana,Noche,Tarde,Total,Perc Provincia,Perc Pais
0,ALAJUELA,ALAJUELA,1593,1275,1972,1600,6440,42.254445246374914,6.648496861579122
1,ALAJUELA,ATENAS,116,60,104,100,380,2.4932747195065943,0.3923026098447307
2,ALAJUELA,GRECIA,162,144,240,184,730,4.789711961157404,0.753633961017509
3,ALAJUELA,GUATUSO,118,64,45,44,271,1.778098549963913,0.2797737033366369
4,ALAJUELA,LOS CHILES,135,131,187,159,612,4.015484548257988,0.6318136769078295
5,ALAJUELA,NARANJO,97,68,81,57,303,1.9880585263434158,0.3128097125867195
6,ALAJUELA,OROTINA,197,141,192,219,749,4.914375697132734,0.7732490915097456
7,ALAJUELA,PALMARES,61,45,87,58,251,1.6468735647267239,0.2591261975553353
8,ALAJUELA,POAS,80,49,64,80,273,1.791221048487632,0.28183845391476714
9,ALAJUELA,RIO CUARTO,37,26,28,28,119,0.7807886621612755,0.12285265939874462
10,ALAJUELA,SAN CARLOS,719,571,752,789,2831,18.574896660324125,2.9226544433432444
11,ALAJUELA,SAN MATEO,29,25,27,35,116,0.7611049143756972,0.11975553353154939
12,ALAJUELA,SAN RAMON,324,241,277,288,1130,7.414211665901188,1.1665840766435416
13,ALAJUELA,SARCH&#205;,42,28,56,23,149,0.9776261400170593,0.15382391807069706
14,ALAJUELA,UPALA,228,198,177,206,809,5.308050652844302,0.8351916088536505
15,ALAJUELA,ZARCERO,28,7,21,22,78,0.5117774424250378,0.08052527254707631
16,CARTAGO,ALVARADO,55,23,21,32,131,1.7654986522911051,0.1352411628675256
17,CARTAGO,CARTAGO,796,616,965,839,3216,43.34231805929919,3.3201189296333005
18,CARTAGO,EL GUARCO,148,85,128,106,467,6.293800539083557,0.48211925999339283
19,CARTAGO,JIMENEZ,70,31,44,49,194,2.61455525606469,0.20028080607862572
20,CARTAGO,LA UNION,321,225,393,340,1279,17.237196765498652,1.3204079947142386
21,CARTAGO,OREAMUNO,163,107,171,112,553,7.452830188679245,0.5709035348529898
22,CARTAGO,PARAISO,171,93,147,148,559,7.533692722371968,0.5770977865873802
23,CARTAGO,TURRIALBA,352,249,214,206,1021,13.760107816711589,1.0540551701354477
24,GUANACASTE,ABANGARES,69,39,92,60,260,3.0617051342439945,0.26841757515692105
25,GUANACASTE,BAGACES,109,58,91,63,321,3.780028261893547,0.331392467789891
26,GUANACASTE,CANAS,154,129,186,174,643,7.571832312764955,0.663817310868847
27,GUANACASTE,CARRILLO,256,132,215,173,776,9.138012246820537,0.8011232243145029
28,GUANACASTE,HOJANCHA,14,29,22,26,91,1.071596796985398,0.09394615130492237
29,GUANACASTE,LA CRUZ,99,79,47,53,278,3.273669335845502,0.28700033036009254
30,GUANACASTE,LIBERIA,758,467,683,580,2488,29.298162976919457,2.5685497191939213
31,GUANACASTE,NANDAYURE,17,20,21,16,74,0.8714083843617523,0.07639577139081599
32,GUANACASTE,NICOYA,297,301,301,310,1209,14.236928874234575,1.2481417244796829
33,GUANACASTE,SANTA CRUZ,753,352,566,492,2163,25.47103155911446,2.23302775024777
34,GUANACASTE,TILARAN,37,37,65,50,189,2.2256241168158266,0.1951189296333003
35,HEREDIA,BARVA,203,104,200,149,656,8.001951695535496,0.677238189626693
36,HEREDIA,BELEN,125,88,313,129,655,7.989753598438644,0.676205814337628
37,HEREDIA,FLORES,101,34,107,77,319,3.8911929738960724,0.3293277172117608
38,HEREDIA,HEREDIA,895,563,1068,931,3457,42.168821663820445,3.568921374297985
39,HEREDIA,SAN ISIDRO,57,43,56,62,218,2.65918516711393,0.22505781301618766
40,HEREDIA,SAN PABLO,107,64,109,65,345,4.208343498414247,0.3561694747274529
41,HEREDIA,SAN RAFAEL,144,104,199,154,601,7.331056355208587,0.6204575487281137
42,HEREDIA,SANTA BARBARA,168,87,178,106,539,6.574774335203708,0.5564502808060786
43,HEREDIA,SANTO DOMINGO,162,120,180,150,612,7.4652354232739695,0.6318136769078295
44,HEREDIA,SARAPIQUI,206,151,224,215,796,9.709685289094901,0.8217707300958045
45,LIMON,GUACIMO,157,77,172,88,494,5.719578557369457,0.50999339279815
46,LIMON,LIMON,621,419,688,548,2276,26.351742503183978,2.349686157912124
47,LIMON,MATINA,302,197,331,234,1064,12.319092277411139,1.0984473075652461
48,LIMON,POCOCI,752,399,649,420,2220,25.703369225425494,2.2918731417244795
49,LIMON,SIQUIRRES,300,286,337,311,1234,14.287368299177954,1.2739511067063098
50,LIMON,TALAMANCA,319,295,276,459,1349,15.618849137431978,1.3926742649487942
51,PUNTARENAS,BUENOS AIRES,178,149,148,195,670,5.468048641149107,0.6916914436736042
52,PUNTARENAS,CORREDORES,275,175,211,206,867,7.0758181669795155,0.8950693756194252
53,PUNTARENAS,COTO BRUS,255,94,85,90,524,4.276503713376316,0.5409646514701024
54,PUNTARENAS,ESPARZA,184,119,183,125,611,4.986533910062842,0.6307813016187644
55,PUNTARENAS,GARABITO,306,403,373,735,1817,14.829021464131234,1.875825900231252
56,PUNTARENAS,GOLFITO,265,108,153,142,668,5.451726107891945,0.689626693095474
57,PUNTARENAS,MONTES DE ORO,29,24,46,46,145,1.1833836611442095,0.14969441691443675
58,PUNTARENAS,MONTEVERDE,23,41,58,53,175,1.4282216600016322,0.18066567558638916
59,PUNTARENAS,OSA,946,125,150,167,1388,11.327838080470089,1.4329369012223323
60,PUNTARENAS,PARRITA,140,136,141,154,571,4.660083244919611,0.5894862900561613
61,PUNTARENAS,PUERTO JIM&#201;NEZ,187,66,65,63,381,3.1094425854892678,0.39333498513379583
62,PUNTARENAS,PUNTARENAS,715,657,897,860,3129,25.536603280829183,3.2303022794846386
63,PUNTARENAS,QUEPOS,281,286,347,393,1307,10.666775483555048,1.3493145028080606
64,SAN JOSE,ACOSTA,43,37,26,28,134,0.3658902875242334,0.13833828873472084
65,SAN JOSE,ALAJUELITA,332,181,321,230,1064,2.905278103923764,1.0984473075652461
66,SAN JOSE,ASERRI,176,94,189,121,580,1.5837042295825028,0.598777667657747
67,SAN JOSE,CURRIDABAT,224,163,503,312,1202,3.282090489583049,1.2409150974562273
68,SAN JOSE,DESAMPARADOS,643,438,774,590,2445,6.676132485050378,2.524157581764123
69,SAN JOSE,DOTA,18,29,20,26,93,0.25393878163995304,0.09601090188305253
70,SAN JOSE,ESCAZU,205,146,191,246,788,2.151653332605193,0.8135117277832837
71,SAN JOSE,GOICOECHEA,486,350,463,403,1702,4.647352756464517,1.7571027419887677
72,SAN JOSE,LEON CORTES,34,17,9,14,74,0.20205881549845728,0.07639577139081599
73,SAN JOSE,MONTES DE OCA,477,266,795,387,1925,5.256259727493651,1.9873224314502806
74,SAN JOSE,MORA,96,80,47,90,313,0.854654179067799,0.3231334654773703
75,SAN JOSE,MORAVIA,200,120,253,180,753,2.056084973923491,0.777378592666006
76,SAN JOSE,PEREZ ZELEDON,761,481,564,581,2387,6.517762062092128,2.4642798149983483
77,SAN JOSE,PURISCAL,134,117,75,139,465,1.2696939081997654,0.4800545094152626
78,SAN JOSE,SAN JOSE,5218,3574,5692,5392,19876,54.271905633072116,20.519491245457548
79,SAN JOSE,SANTA ANA,299,130,228,176,833,2.2745269366245253,0.8599686157912125
80,SAN JOSE,TARRAZU,52,49,20,38,159,0.43415340086830684,0.16414767096134786
81,SAN JOSE,TIBAS,294,174,439,277,1184,3.2329410479753165,1.2223323422530559
82,SAN JOSE,TURRUBARES,24,14,19,15,72,0.1965977664309314,0.07433102081268583
83,SAN JOSE,VASQUEZ DE CORONADO,162,107,156,149,574,1.567321082379925,0.5925834159233564
